,Adhesive,Brick,Cardboard,Ceramic,Cloth,Concrete,Cotton,Diamond,Glass,Leather,Marble,Metal,Paper,Plastic,Porcelain,Rubber,Stone,Styrofoam,Wax,Wood,Wool
Adhesive,7.0,1.4,1.7142857142857142,1.457142857142857,1.7142857142857142,2.0,1.4,1.2,1.457142857142857,1.9714285714285715,1.457142857142857,1.5714285714285714,2.1714285714285713,2.8,1.5142857142857142,3.1714285714285713,1.5142857142857142,2.085714285714286,3.8857142857142857,1.7428571428571429,1.4285714285714286
Brick,1.3714285714285714,7.0,1.7142857142857142,4.085714285714285,1.2,5.6571428571428575,1.2285714285714286,3.2857142857142856,2.2285714285714286,1.457142857142857,4.542857142857143,3.1714285714285713,1.2857142857142858,1.8285714285714285,3.1142857142857143,1.6,6.085714285714285,1.457142857142857,1.3428571428571427,2.8857142857142857,1.2285714285714286
Cardboard,1.5142857142857142,1.4857142857142858,7.0,1.5142857142857142,2.4857142857142858,1.6176470588235294,2.176470588235294,1.1714285714285715,1.4857142857142858,1.9142857142857144,1.4857142857142858,1.5714285714285714,5.085714285714285,2.5714285714285716,1.5714285714285714,1.6571428571428573,1.4857142857142858,3.7142857142857144,1.6,4.285714285714286,1.9428571428571428
Ceramic,1.7714285714285714,4.228571428571429,1.5714285714285714,7.0,1.6,3.857142857142857,1.2571428571428571,2.942857142857143,4.171428571428572,1.4,4.942857142857143,2.6857142857142855,1.5142857142857142,2.6285714285714286,5.685714285714286,1.6857142857142857,4.171428571428572,1.5714285714285714,1.9428571428571428,1.9428571428571428,1.3428571428571427
Cloth,1.7714285714285714,1.3714285714285714,2.1714285714285713,1.3142857142857143,7.0,1.3142857142857143,6.257142857142857,1.3428571428571427,1.4857142857142858,4.0,1.3142857142857143,1.1714285714285715,3.142857142857143,1.9714285714285715,1.4,1.8571428571428572,1.3428571428571427,2.0285714285714285,1.6285714285714286,1.9142857142857144,5.428571428571429
Concrete,1.9142857142857144,5.885714285714286,1.6,4.0285714285714285,1.2,7.0,1.1142857142857143,3.2,2.3142857142857145,1.3428571428571427,4.457142857142857,3.2,1.4,1.9428571428571428,3.4285714285714284,1.7428571428571429,6.142857142857143,1.6857142857142857,1.2857142857142858,2.657142857142857,1.3714285714285714
Cotton,1.7428571428571429,1.1142857142857143,2.3714285714285714,1.1428571428571428,5.8,1.0857142857142856,7.0,1.2285714285714286,1.3142857142857143,2.4285714285714284,1.2285714285714286,1.4,3.1714285714285713,1.3714285714285714,1.5142857142857142,1.8285714285714285,1.3428571428571427,2.142857142857143,1.7428571428571429,2.057142857142857,5.6
Diamond,1.2285714285714286,2.9714285714285715,1.2857142857142858,3.0285714285714285,1.1142857142857143,3.142857142857143,1.2,7.0,4.114285714285714,1.3142857142857143,4.371428571428571,3.142857142857143,1.0857142857142856,1.4857142857142858,3.2285714285714286,1.6571428571428573,4.142857142857143,1.1428571428571428,1.3529411764705883,1.7428571428571429,1.1714285714285715
Glass,1.4,2.257142857142857,1.5714285714285714,4.314285714285714,1.1714285714285715,2.057142857142857,1.3142857142857143,4.428571428571429,7.0,1.2,3.6285714285714286,2.3714285714285714,1.4285714285714286,2.7142857142857144,4.571428571428571,1.457142857142857,2.5428571428571427,1.4,1.8,1.9428571428571428,1.3428571428571427
Leather,1.6,1.3714285714285714,2.1142857142857143,1.4857142857142858,4.314285714285714,1.457142857142857,2.5428571428571427,1.6,1.2857142857142858,7.0,1.3428571428571427,1.4,1.9714285714285715,2.2,1.6285714285714286,2.6,1.4857142857142858,1.6857142857142857,1.6285714285714286,1.7428571428571429,3.0294117647058822
Marble,1.3142857142857143,4.085714285714285,1.3428571428571427,5.142857142857143,1.2,4.514285714285714,1.3142857142857143,4.057142857142857,3.3142857142857145,1.5714285714285714,7.0,2.9714285714285715,1.4,1.9714285714285715,4.285714285714286,1.5714285714285714,5.885714285714286,1.457142857142857,1.5142857142857142,2.4571428571428573,1.4285714285714286
Metal,1.5142857142857142,2.857142857142857,1.4857142857142858,2.5142857142857142,1.3428571428571427,2.9714285714285715,1.1714285714285715,3.3142857142857145,2.4857142857142858,1.457142857142857,2.5714285714285716,7.0,1.4857142857142858,2.1142857142857143,2.8,1.6,3.5142857142857142,1.2285714285714286,1.3529411764705883,2.8285714285714287,1.4857142857142858
Paper,2.1142857142857143,1.1714285714285715,5.514285714285714,1.542857142857143,3.2857142857142856,1.3142857142857143,3.657142857142857,1.3428571428571427,1.6,2.4,1.3428571428571427,1.2571428571428571,7.0,2.2,1.5142857142857142,1.9714285714285715,1.2285714285714286,3.0285714285714285,2.2,4.0285714285714285,2.342857142857143
Plastic,2.942857142857143,2.0,2.342857142857143,2.6285714285714286,1.8,2.057142857142857,1.5714285714285714,1.7714285714285714,2.657142857142857,1.9714285714285715,1.8,1.9428571428571428,2.4571428571428573,7.0,2.5714285714285716,3.857142857142857,2.1142857142857143,4.085714285714285,3.0285714285714285,2.085714285714286,1.6
Porcelain,1.5714285714285714,3.2857142857142856,1.5142857142857142,5.6571428571428575,1.2571428571428571,3.5142857142857142,1.3428571428571427,3.0285714285714285,4.514285714285714,1.4285714285714286,4.714285714285714,2.4285714285714284,1.6571428571428573,2.2285714285714286,7.0,1.457142857142857,4.428571428571429,1.4,1.7714285714285714,1.8857142857142857,1.3428571428571427
Rubber,3.085714285714286,1.5714285714285714,1.6,1.542857142857143,1.6857142857142857,1.6,1.6857142857142857,1.3142857142857143,1.457142857142857,3.1142857142857143,1.5142857142857142,1.5714285714285714,2.0285714285714285,3.5428571428571427,1.5142857142857142,7.0,1.7142857142857142,2.5142857142857142,3.085714285714286,1.9142857142857144,1.7428571428571429
Stone,1.5142857142857142,5.6571428571428575,1.457142857142857,4.3428571428571425,1.3428571428571427,5.685714285714286,1.0857142857142856,4.771428571428571,2.5428571428571427,1.457142857142857,5.6571428571428575,3.5428571428571427,1.3428571428571427,2.0,4.371428571428571,1.7428571428571429,7.0,1.4285714285714286,1.6,2.4285714285714284,1.2
Styrofoam,1.9714285714285715,1.542857142857143,3.257142857142857,1.4,2.085714285714286,1.457142857142857,2.3714285714285714,1.2,1.457142857142857,1.7428571428571429,1.457142857142857,1.2571428571428571,2.942857142857143,3.914285714285714,1.7142857142857142,2.257142857142857,1.4857142857142858,7.0,1.8857142857142857,1.9714285714285715,1.8857142857142857
Wax,3.8,1.542857142857143,1.6857142857142857,2.0,1.4857142857142858,1.542857142857143,1.4285714285714286,1.2,1.6857142857142857,2.085714285714286,1.457142857142857,1.4,2.142857142857143,2.7142857142857144,1.7714285714285714,3.1142857142857143,1.4,2.142857142857143,7.0,1.8857142857142857,1.7428571428571429
Wood,1.6857142857142857,2.7142857142857144,3.5428571428571427,2.1142857142857143,1.7714285714285714,2.3714285714285714,2.057142857142857,1.6857142857142857,1.9142857142857144,2.342857142857143,2.5428571428571427,2.5428571428571427,4.085714285714285,2.4857142857142858,2.085714285714286,2.057142857142857,2.5714285714285716,2.057142857142857,1.6857142857142857,7.0,1.8571428571428572
Wool,1.4285714285714286,1.5142857142857142,1.9142857142857144,1.4857142857142858,5.142857142857143,1.4285714285714286,6.085714285714285,1.2,1.4285714285714286,2.942857142857143,1.457142857142857,1.2857142857142858,2.2857142857142856,1.4285714285714286,1.0857142857142856,1.6857142857142857,1.4285714285714286,2.1142857142857143,1.5714285714285714,1.8,7.0
