,cuboid,cylinder,handle with bristles,high convexity,long narrow rectangular,medium convexity with handle,rectangular thin with legs,rectangular thin with legs and drawers,small thick rectangular,thin rectangular
cuboid,7.0,1.8857142857142857,1.5142857142857142,1.457142857142857,4.485714285714286,1.5142857142857142,4.4,4.0,5.314285714285714,4.228571428571429
cylinder,2.1142857142857143,7.0,1.6571428571428573,3.6,1.4857142857142858,4.0285714285714285,1.2571428571428571,1.4,1.7714285714285714,1.6857142857142857
handle with bristles,1.4,2.2857142857142856,7.0,2.0285714285714285,1.9142857142857144,1.7714285714285714,1.4857142857142858,1.3428571428571427,1.2857142857142858,1.6571428571428573
high convexity,1.3714285714285714,3.5428571428571427,2.1142857142857143,7.0,1.6285714285714286,4.714285714285714,1.4285714285714286,1.457142857142857,1.4285714285714286,1.3428571428571427
long narrow rectangular,4.457142857142857,2.142857142857143,1.8,1.6857142857142857,7.0,1.3714285714285714,4.0,4.057142857142857,4.057142857142857,4.457142857142857
medium convexity with handle,1.6571428571428573,3.2285714285714286,1.7428571428571429,4.4,1.4285714285714286,7.0,1.3714285714285714,1.4285714285714286,1.8,1.457142857142857
rectangular thin with legs,4.628571428571429,1.542857142857143,1.3714285714285714,1.1714285714285715,4.257142857142857,2.0285714285714285,7.0,5.914285714285715,3.914285714285714,4.8
rectangular thin with legs and drawers,4.257142857142857,1.5714285714285714,1.3428571428571427,1.2,4.171428571428572,1.3428571428571427,5.8,7.0,3.857142857142857,4.371428571428571
small thick rectangular,5.485714285714286,1.7142857142857142,1.3714285714285714,1.3714285714285714,4.371428571428571,1.4285714285714286,4.114285714285714,3.342857142857143,7.0,4.371428571428571
thin rectangular,4.3428571428571425,1.542857142857143,1.4,1.1714285714285715,4.171428571428572,1.3428571428571427,4.885714285714286,4.428571428571429,4.942857142857143,7.0
